Taxon,Longitude,Latitude
Plutarchia monantha,-75.576456,-75.576456
Plutarchia guascensis,-73.126222,-73.126222
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia rigida,-75.334569,-75.334569
Plutarchia dichogama,-75.57683,-75.57683
Plutarchia dasyphylla,-73.45674,-73.45674
Plutarchia guascensis,-73.513821,-73.513821
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.8328456,-73.8328456
Plutarchia guascensis,-73.788979,-73.788979
Plutarchia dasyphylla,-73.11157,-73.11157
Plutarchia dasyphylla,-72.913001,-72.913001
Plutarchia dasyphylla,-72.913001,-72.913001
Plutarchia dolos,-73.73,-73.73
Plutarchia guascensis,-73.800692,-73.800692
Plutarchia coronaria,-73.07298,-73.07298
Plutarchia dolos,-73.74,-73.74
Plutarchia dolos,-73.75,-73.75
Plutarchia dolos,-73.72,-73.72
Plutarchia rigida,-75.34012,-75.34012
Plutarchia miranda,-76.103958,-76.103958
Plutarchia pubiflora,-75.2845001221,-75.2845001221
Plutarchia guascensis,-73.8141666667,-73.8141666667
Plutarchia monantha,-75.42015,-75.42015
Plutarchia monantha,-75.433135,-75.433135
Plutarchia monantha,-75.433135,-75.433135
Plutarchia dolos,-73.73,-73.73
Plutarchia guascensis,-73.602399,-73.602399
Plutarchia dasyphylla,-72.602943,-72.602943
Plutarchia coronaria,-72.5961111111,-72.5961111111
Plutarchia coronaria,-72.716389,-72.716389
Plutarchia miranda,-76.13446,-76.13446
Plutarchia dichogama,-75.0547,-75.0547
Plutarchia guascensis,-73.825836,-73.825836
Plutarchia rigida,-76.45507,-76.45507
Plutarchia rigida,-76.119444,-76.119444
Plutarchia pubiflora,-75.844943,-75.844943
Plutarchia coronaria,-72.665964,-72.665964
Plutarchia guascensis,-73.8220672607,-73.8220672607
Plutarchia minor,-75.86787,-75.86787
Plutarchia miranda,-76.098225,-76.098225
Plutarchia monantha,-75.568977,-75.568977
Plutarchia coronaria,-72.588647,-72.588647
Plutarchia coronaria,-72.743884,-72.743884
Plutarchia coronaria,-72.5902777778,-72.5902777778
Plutarchia rigida,-76.236908,-76.236908
Plutarchia pubiflora,-75.32388,-75.32388
Plutarchia dichogama,-75.95673,-75.95673
Plutarchia rigida,-75.95673,-75.95673
Plutarchia guascensis,-73.1019444444,-73.1019444444
Plutarchia pubiflora,-75.264184,-75.264184
Plutarchia rigida,-76.607113,-76.607113
Plutarchia minor,-75.589083,-75.589083
Plutarchia monantha,-75.576456,-75.576456
Plutarchia minor,-75.802667,-75.802667
Plutarchia guascensis,-73.132694,-73.132694
Plutarchia guascensis,-73.440994,-73.440994
Plutarchia guascensis,-73.108673,-73.108673
Plutarchia miranda,-76.101588,-76.101588
Plutarchia dolos,-73.75,-73.75
Plutarchia dolos,-73.76,-73.76
Plutarchia dolos,-73.76,-73.76
Plutarchia dolos,-73.76,-73.76
Plutarchia guascensis,-73.837472,-73.837472
Plutarchia dolos,-73.73,-73.73
Plutarchia dolos,-73.75,-73.75
Plutarchia guascensis,-73.988138,-73.988138
Plutarchia dasyphylla,-72.9797222222,-72.9797222222
Plutarchia guascensis,-73.8675003052,-73.8675003052
Plutarchia guascensis,-73.547871,-73.547871
Plutarchia guascensis,-73.787273,-73.787273
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia monantha,-76.051602,-76.051602
Plutarchia monantha,-76.048687,-76.048687
Plutarchia rigida,-76.218444,-76.218444
Plutarchia guascensis,-73.818201,-73.818201
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia dolos,-73.74,-73.74
Plutarchia guascensis,-73.0762,-73.0762
Plutarchia rigida,-76.6202777778,-76.6202777778
Plutarchia rigida,-76.607283,-76.607283
Plutarchia monantha,-75.27425,-75.27425
Plutarchia guascensis,-73.837872,-73.837872
Plutarchia dichogama,-75.56083679,-75.56083679
Plutarchia monantha,-75.493464,-75.493464
Plutarchia rigida,-76.400561,-76.400561
Plutarchia guascensis,-74.031604,-74.031604
Plutarchia coronaria,-72.763737,-72.763737
Plutarchia coronaria,-72.887455,-72.887455
Plutarchia monantha,-75.493464,-75.493464
Plutarchia monantha,-75.493464,-75.493464
Plutarchia coronaria,-72.528589,-72.528589
Plutarchia coronaria,-72.6759,-72.6759
Plutarchia minor,-75.7119,-75.7119
Plutarchia minor,-75.583333,-75.583333
Plutarchia rigida,-76.174167,-76.174167
Plutarchia rigida,-76.350348,-76.350348
Plutarchia miranda,-76.350348,-76.350348
Plutarchia rigida,-76.316667,-76.316667
Plutarchia guascensis,-73.831596,-73.831596
Plutarchia dasyphylla,-72.96623,-72.96623
Plutarchia coronaria,-73.59075,-73.59075
Plutarchia coronaria,-73.5395,-73.5395
Plutarchia coronaria,-73.629389,-73.629389
Plutarchia coronaria,-72.713813,-72.713813
Plutarchia minor,-75.383889,-75.383889
Plutarchia coronaria,-73.4521,-73.4521
Plutarchia monantha,-75.415673,-75.415673
Plutarchia monantha,-75.70543,-75.70543
Plutarchia monantha,-75.69696,-75.69696
Plutarchia rigida,-75.32911,-75.32911
Plutarchia monantha,-75.71527863,-75.71527863
Plutarchia dasyphylla,-72.852222,-72.852222
Plutarchia dolos,-73.73,-73.73
Plutarchia miranda,-76.0699722,-76.0699722
Plutarchia guascensis,-73.547871,-73.547871
Plutarchia guascensis,-73.5440556,-73.5440556
Plutarchia miranda,-76.119641,-76.119641
Plutarchia monantha,-75.576456,-75.576456
Plutarchia minor,-75.484722,-75.484722
Plutarchia guascensis,-73.885617,-73.885617
Plutarchia dolos,-73.72,-73.72
Plutarchia pubiflora,-75.53199,-75.53199
Plutarchia guascensis,-73.8502777778,-73.8502777778
Plutarchia guascensis,-73.84643,-73.84643
Plutarchia guascensis,-73.782617,-73.782617
Plutarchia monantha,-75.38308218,-75.38308218
Plutarchia guascensis,-73.127868,-73.127868
Plutarchia guascensis,-73.127868,-73.127868
Plutarchia guascensis,-73.127868,-73.127868
Plutarchia guascensis,-73.127868,-73.127868
Plutarchia dolos,-73.75,-73.75
Plutarchia rigida,-76.2386111,-76.2386111
Plutarchia rigida,-76.2491667,-76.2491667
Plutarchia rigida,-76.142175,-76.142175
Plutarchia coronaria,-73.1019444444,-73.1019444444
Plutarchia rigida,-76.288703,-76.288703
Plutarchia rigida,-76.288703,-76.288703
Plutarchia monantha,-75.45,-75.45
Plutarchia coronaria,-73.11171,-73.11171
Plutarchia coronaria,-73.467499,-73.467499
Plutarchia coronaria,-72.534532,-72.534532
Plutarchia coronaria,-72.634163,-72.634163
Plutarchia guascensis,-73.371096,-73.371096
Plutarchia dolos,-73.73,-73.73
Plutarchia rigida,-75.557852,-75.557852
Plutarchia dolos,-73.72,-73.72
Plutarchia rigida,-76.43052,-76.43052
Plutarchia minor,-75.246825,-75.246825
Plutarchia dichogama,-75.266602,-75.266602
Plutarchia minor,-75.08851305,-75.08851305
Plutarchia coronaria,-72.648637,-72.648637
Plutarchia pubiflora,-75.256014,-75.256014
Plutarchia monantha,-75.50726,-75.50726
Plutarchia monantha,-75.331768,-75.331768
Plutarchia minor,-75.269253,-75.269253
Plutarchia monantha,-76.067236,-76.067236
Plutarchia monantha,-76.08081,-76.08081
Plutarchia monantha,-76.07262,-76.07262
Plutarchia monantha,-76.050108,-76.050108
Plutarchia guascensis,-73.88967,-73.88967
Plutarchia guascensis,-73.8505555556,-73.8505555556
Plutarchia guascensis,-73.8491666667,-73.8491666667
Plutarchia guascensis,-73.82248,-73.82248
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia monantha,-75.582006,-75.582006
Plutarchia monantha,-75.582006,-75.582006
Plutarchia monantha,-75.582006,-75.582006
Plutarchia guascensis,-73.0859,-73.0859
Plutarchia guascensis,-73.666667,-73.666667
Plutarchia guascensis,-73.852622,-73.852622
Plutarchia guascensis,-72.778621,-72.778621
Plutarchia dolos,-73.75,-73.75
Plutarchia monantha,-75.456039,-75.456039
Plutarchia monantha,-75.53199,-75.53199
Plutarchia rigida,-75.557852,-75.557852
Plutarchia monantha,-76.08365,-76.08365
Plutarchia monantha,-75.430285,-75.430285
Plutarchia rigida,-75.545492,-75.545492
Plutarchia rigida,-75.557852,-75.557852
Plutarchia monantha,-75.355241,-75.355241
Plutarchia guascensis,-73.433656,-73.433656
Plutarchia rigida,-75.844943,-75.844943
Plutarchia minor,-75.89146,-75.89146
Plutarchia dichogama,-75.6061019897,-75.6061019897
Plutarchia minor,-75.537686,-75.537686
Plutarchia minor,-75.537686,-75.537686
Plutarchia monantha,-75.42015,-75.42015
Plutarchia monantha,-75.67945,-75.67945
Plutarchia monantha,-75.80175,-75.80175
Plutarchia monantha,-75.4916667,-75.4916667
Plutarchia guascensis,-73.81248,-73.81248
Plutarchia monantha,-75.3956897,-75.3956897
Plutarchia dichogama,-75.5737,-75.5737
Plutarchia guascensis,-73.433656,-73.433656
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.838548,-73.838548
Plutarchia guascensis,-73.831596,-73.831596
Plutarchia guascensis,-74.031604,-74.031604
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.863042,-73.863042
Plutarchia guascensis,-73.828142,-73.828142
Plutarchia guascensis,-73.853144,-73.853144
Plutarchia guascensis,-72.790344,-72.790344
Plutarchia guascensis,-73.079916,-73.079916
Plutarchia guascensis,-73.079916,-73.079916
Plutarchia guascensis,-73.853455,-73.853455
Plutarchia guascensis,-73.863042,-73.863042
Plutarchia guascensis,-73.806909,-73.806909
Plutarchia guascensis,-73.837872,-73.837872
Plutarchia guascensis,-73.126222,-73.126222
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.837472,-73.837472
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.547871,-73.547871
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.602399,-73.602399
Plutarchia guascensis,-73.547871,-73.547871
Plutarchia guascensis,-73.112086,-73.112086
Plutarchia guascensis,-73.85551,-73.85551
Plutarchia guascensis,-73.126222,-73.126222
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.837472,-73.837472
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.853455,-73.853455
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.79091,-73.79091
Plutarchia guascensis,-73.126222,-73.126222
Plutarchia guascensis,-73.126222,-73.126222
Plutarchia guascensis,-73.126222,-73.126222
Plutarchia guascensis,-73.084717,-73.084717
Plutarchia guascensis,-73.126222,-73.126222
Plutarchia guascensis,-73.371096,-73.371096
Plutarchia guascensis,-73.825836,-73.825836
Plutarchia guascensis,-73.852622,-73.852622
Plutarchia guascensis,-73.547871,-73.547871
Plutarchia guascensis,-73.782617,-73.782617
