Taxon,Latitude,Longitude
Orthaea_abbreviata,-4.500746,-79.126117
Orthaea_abbreviata,-4.472222,-79.097222
Orthaea_abbreviata,-3.97167,-79.07889
Orthaea_abbreviata,-3.97167,-79.07889
Orthaea_abbreviata,-3.97167,-79.07889
Orthaea_abbreviata,-3.966667,-79.06667
Orthaea_abbreviata,-3.966667,-79.06667
Orthaea_abbreviata,-4.36667,-79.05
Orthaea_abbreviata,-4.000062,-79.019387
Orthaea_abbreviata,-3.741667,-78.95833
Orthaea_abbreviata,-4.083,-78.95
Orthaea_abbreviata,-3.509722,-78.95
Orthaea_abbreviata,-5.01167,-78.90806
Orthaea_abbreviata,-5.01167,-78.90806
Orthaea_abbreviata,-3.783889,-78.90417
Orthaea_abbreviata,-4.99027778,-78.90416667
Orthaea_abbreviata,-4.99027778,-78.90138889
Orthaea_abbreviata,-4.98944444,-78.88416667
Orthaea_abbreviata,-4.438836,-78.824508
Orthaea_abbreviata,-5.308333,-78.733611
Orthaea_abbreviata,-4.445,-78.66861
Orthaea_abbreviata,-4.152778,-78.64361
Orthaea_abbreviata,-4.167,-78.617
Orthaea_abbreviata,-3.017,-78.617
Orthaea_abbreviata,-5.984444,-78.60083
Orthaea_abbreviata,-3.281229,-78.582895
Orthaea_abbreviata,-5.166667,-78.533333
Orthaea_abbreviata,-3.566389,-78.44139
Orthaea_abbreviata,-3.577778,-78.43556
Orthaea_abbreviata,-3.570556,-78.42778
Orthaea_abbreviata,-3.90167,-78.42667
Orthaea_abbreviata,-3.63389,-78.42556
Orthaea_abbreviata,-3.91,-78.425
Orthaea_abbreviata,-3.579167,-78.42222
Orthaea_abbreviata,-2.86667,-78.36667
Orthaea_abbreviata,-2.95389,-78.360111
Orthaea_abbreviata,-6.10917,-78.34861
Orthaea_abbreviata,-2.95833,-78.33222
Orthaea_abbreviata,-2.95833,-78.33222
Orthaea_abbreviata,-2.989713,-78.328149
Orthaea_abbreviata,-5.67472222,-77.77361111
Orthaea_abbreviata,-5.833333,-77.75
Orthaea_abbreviata,-5.75,-77.75
Orthaea_abbreviata,-5.75,-77.75
Orthaea_abbreviata,-5.66361,-77.73972
Orthaea_bullata,-10.66667,-75.83333
Orthaea_bullata,-10.375,-75.64361111
Orthaea_bullata,-10.375,-75.64361111
Orthaea_bullata,-10.375,-75.64361111
Orthaea_bullata,-10.375,-75.64361111
Orthaea_bullata,-10.375,-75.64361111
Orthaea_bullata,-10.3825,-75.62556
Orthaea_bullata,-10.392,-75.625
Orthaea_bullata,-10.38278,-75.62306
Orthaea_bullata,-10.38278,-75.62306
Orthaea_bullata,-10.38167,-75.62194
Orthaea_bullata,-10.383,-75.617
Orthaea_bullata,-10.367,-75.6
Orthaea_bullata,-10.6,-75.567
Orthaea_bullata,-10.6,-75.56667
Orthaea_bullata,-10.6,-75.55
Orthaea_bullata,-10.67306,-75.52472
Orthaea_bullata,-10.64638889,-75.50555556
Orthaea_bullata,-10.64722,-75.505
Orthaea_bullata,-10.64556,-75.45611
Orthaea_bullata,-10.64556,-75.45611
Orthaea_bullata,-10.56222,-75.45611
Orthaea_bullata,-10.65139,-75.45167
Orthaea_bullata,-10.63333,-75.45
Orthaea_bullata,-10.44306,-75.43778
Orthaea_bullata,-10.567,-75.367
Orthaea_bullata,-10.217,-75.367
